ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1657,1,Passed for Action,102,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166920,FA-18F,F-18 SUPERS,FIXED WING,11/12/2014 23:15,30,MINOR DEFECT
1658,1,Passed for Action,102,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166922,FA-18F,F-18 SUPERS,FIXED WING,11/12/2014 23:20,17,MINOR DEFECT
1659,2,PMI Concurrent,102,SQD-70,NIPPI,Japan,PACIFIC,139.482422,35.569842,,166917,FA-18F,F-18 SUPERS,FIXED WING,11/12/2014 23:28,45,CRACK
1660,2,Cancelled,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,.,167854,MH-60S,H-60,ROTOR,11/12/2014 23:49,70,CRACK
1661,1,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167854,MH-60S,H-60,ROTOR,11/16/2014 17:14,10,CORROSION
1662,2,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164667,FA-18D,F-18 LEGACY,FIXED WING,11/18/2014 17:41,13,MINOR DEFECT
1663,2,PMI Concurrent,102,SQD-13,Sacheon (KAI),Korea,PACIFIC,128.064185,35.083358,,161261,CH-53E,H-53,ROTOR,11/18/2014 17:47,44,PANEL REPAIR
1664,2,PMI Concurrent,102,SQD-13,Sacheon (KAI),Korea,PACIFIC,128.064185,35.083358,,161261,CH-53E,H-53,ROTOR,11/18/2014 17:55,16,MINOR DEFECT
1665,1,Cancelled,102,SQD-112,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,167982,KC-130J,C-130,FIXED WING,11/25/2014 19:39,42,CRACK
1666,1,Complete,102,SQD-112,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,167926,KC-130J,C-130,FIXED WING,11/25/2014 19:42,6,CORROSION
1667,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164278,FA-18C,F-18 LEGACY,FIXED WING,11/25/2014 19:47,7,BUSHING REPAIR
1668,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164025,FA-18C,F-18 LEGACY,FIXED WING,11/25/2014 19:53,10,MINOR DEFECT
